read_217 status=OK qual=AA diff=<0, -1>  | 17913105 17914104 | pad: 11, 10 | 
read_218 status=OK qual=AA diff=<0, -1>  | 6535971 6536968 | pad: 11, 10 | 
read_219 status=OK qual=AA diff=<0, 0>  | 17939984 17940990 | pad: 10, 11 | 
read_220 status=OK qual=AB diff=<0, -11>  | 13713065 13714074 | pad: 11, None | 
read_221 status=OK qual=AB diff=<0, -12>  | 15762873 15763883 | pad: 11, None | 
read_222 status=OK qual=AB diff=<11, -1>  | 2438737 2439745 | pad: None, 10 | 
read_223 status=OK qual=AA diff=<0, -1>  | 10320528 10321526 | pad: 11, 10 | 
read_224 status=OK qual=AB diff=<12, 0>  | 19840756 19841765 | pad: None, 10 | 
read_225 status=OK qual=AA diff=<0, -3>  | 13142825 13143826 | pad: 11, 10 | 
read_226 status=OK qual=AB diff=<10, -1>  | 14569661 14570676 | pad: None, 10 | 
read_227 status=OK qual=AB diff=<10, -1>  | 6922911 6923924 | pad: None, 10 | 
read_228 status=OK qual=AB diff=<0, -13>  | 17345021 17346034 | pad: 11, None | 
read_229 status=OK qual=AB diff=<9, -1>  | 7096506 7097516 | pad: None, 10 | 
read_230 status=OK qual=AA diff=<0, -2>  | 17216985 17217989 | pad: 11, 10 | 
read_231 status=OK qual=C diff=<10, -12>  | 6752952 6753973 | pad: None, None | 
read_232 status=OK qual=AB diff=<11, -1>  | 12413897 12414901 | pad: None, 10 | 
read_233 status=OK qual=AA diff=<0, -1>  | 4175491 4176490 | pad: 11, 10 | 
read_234 status=OK qual=AB diff=<0, -11>  | 10418167 10419180 | pad: 11, None | 
read_235 status=OK qual=AA diff=<0, -1>  | 11574942 11575937 | pad: 11, 11 | 
read_236 status=OK qual=AA diff=<0, -1>  | 16295410 16296412 | pad: 11, 10 | 
read_237 status=OK qual=AA diff=<0, -2>  | 12040726 12041732 | pad: 11, 10 | 
read_238 status=OK qual=AA diff=<0, -1>  | 7234952 7235957 | pad: 11, 10 | 
read_239 status=OK qual=AA diff=<0, -3>  | 3207632 3208636 | pad: 11, 10 | 
read_240 status=OK qual=AA diff=<0, -1>  | 13021681 13022681 | pad: 12, 10 | 
read_241 status=OK qual=AA diff=<0, -1>  | 3215010 3216016 | pad: 11, 10 | 
read_242 status=OK qual=AA diff=<0, -5>  | 17291071 17292080 | pad: 11, None | 
read_243 status=OK qual=C diff=<9, -13>  | 1460113 1461135 | pad: None, None | 
read_244 status=OK qual=AA diff=<0, -9>  | 11843162 11844175 | pad: 11, None | 
read_245 status=OK qual=AA diff=<0, -4>  | 17036642 17037640 | pad: 11, 7 | 
read_246 status=OK qual=AA diff=<0, -1>  | 7381743 7382746 | pad: 11, 10 | 
read_247 status=OK qual=AB diff=<15, -1>  | 2708086 2709094 | pad: None, 10 | 
read_248 status=OK qual=AA diff=<0, -3>  | 17156290 17157295 | pad: 11, 8 | 
read_249 status=OK qual=AA diff=<0, -1>  | 18722424 18723433 | pad: 11, 10 | 
read_250 status=OK qual=AA diff=<0, -1>  | 11220034 11221040 | pad: 11, 10 | 
read_251 status=OK qual=AA diff=<0, -1>  | 11346430 11347434 | pad: 11, 10 | 
read_252 status=OK qual=AA diff=<0, -2>  | 15365348 15366354 | pad: 11, 9 | 
read_253 status=OK qual=AA diff=<0, -9>  | 8153129 8154136 | pad: 11, None | 
read_254 status=OK qual=AB diff=<1, -10>  | 8521220 8522235 | pad: 11, None | 
read_255 status=OK qual=AB diff=<7, -12>  | 9918388 9919411 | pad: None, None | 
read_256 status=OK qual=AB diff=<13, -1>  | 10198912 10199924 | pad: None, 10 | 
read_257 status=OK qual=AB diff=<11, -1>  | 2707595 2708603 | pad: None, 10 | 
read_258 status=OK qual=AA diff=<0, -1>  | 10284832 10285833 | pad: 11, 10 | 
read_259 status=OK qual=AA diff=<0, -1>  | 9199201 9200199 | pad: 11, 10 | 
read_260 status=OK qual=AA diff=<0, 0>  | 3029674 3030676 | pad: 11, 10 | 
read_261 status=OK qual=AA diff=<0, 0>  | 6392163 6393161 | pad: 11, 10 | 
read_262 status=OK qual=AA diff=<0, -1>  | 15528952 15529947 | pad: 11, 10 | 
read_263 status=OK qual=AA diff=<0, -8>  | 8442018 8443031 | pad: 11, None | 
read_264 status=OK qual=AB diff=<9, -3>  | 9418053 9419065 | pad: None, 8 | 
read_265 status=OK qual=AA diff=<0, -1>  | 13889930 13890934 | pad: 11, 10 | 
read_266 status=OK qual=AA diff=<0, -1>  | 5261094 5262097 | pad: 11, 10 | 
read_267 status=OK qual=AA diff=<0, -1>  | 18674009 18675002 | pad: 11, 10 | 
read_268 status=OK qual=AB diff=<10, -2>  | 13521882 13522896 | pad: None, 9 | 
read_269 status=OK qual=AB diff=<0, -11>  | 12858133 12859142 | pad: 11, None | 
read_270 status=OK qual=AB diff=<11, -1>  | 5553499 5554514 | pad: None, 10 | 
read_271 status=OK qual=AB diff=<11, -8>  | 993420 994449 | pad: None, None | 
read_272 status=OK qual=AB diff=<14, -1>  | 6589255 6590269 | pad: None, 10 | 
read_273 status=OK qual=AA diff=<0, -1>  | 16726671 16727667 | pad: 11, 10 | 
read_274 status=OK qual=AB diff=<0, -11>  | 930260 931271 | pad: 11, None | 
read_275 status=OK qual=AB diff=<11, 1>  | 8161864 8162878 | pad: None, 10 | 
read_276 status=OK qual=AB diff=<10, -2>  | 8649045 8650052 | pad: None, 9 | 
read_277 status=OK qual=AB diff=<11, -1>  | 1946609 1947615 | pad: None, 10 | 
read_278 status=OK qual=AB diff=<0, -11>  | 15714699 15715706 | pad: 11, None | 
read_279 status=OK qual=AA diff=<0, 0>  | 18667762 18668767 | pad: 11, 11 | 
read_280 status=OK qual=AA diff=<0, -1>  | 16245052 16246059 | pad: 11, 10 | 
read_281 status=OK qual=AA diff=<0, 0>  | 6673780 6674784 | pad: 11, 11 | 
read_282 status=OK qual=AB diff=<0, -10>  | 5729638 5730649 | pad: 11, None | 
read_283 status=OK qual=AA diff=<0, 0>  | 12431336 12432338 | pad: 11, 10 | 
read_284 status=OK qual=AA diff=<0, -1>  | 17707270 17708275 | pad: 11, 10 | 
read_285 status=OK qual=AA diff=<0, -1>  | 8969504 8970505 | pad: 11, 10 | 
read_286 status=OK qual=AA diff=<0, -2>  | 11021479 11022487 | pad: 11, 10 | 
read_287 status=OK qual=AA diff=<0, -1>  | 9636931 9637924 | pad: 11, 10 | 
read_288 status=OK qual=AB diff=<0, -11>  | 2760172 2761179 | pad: 11, None | 
read_289 status=OK qual=AB diff=<12, 0>  | 4057128 4058138 | pad: None, 10 | 
read_290 status=OK qual=AA diff=<0, -1>  | 10048475 10049481 | pad: 11, 10 | 
read_291 status=OK qual=AA diff=<0, -1>  | 1247275 1248274 | pad: 12, 10 | 
read_292 status=OK qual=AB diff=<0, -12>  | 15209004 15210018 | pad: 11, None | 
read_293 status=OK qual=AB diff=<11, -1>  | 4056998 4058014 | pad: None, 10 | 
read_294 status=OK qual=AA diff=<0, -2>  | 9577890 9578886 | pad: 11, 9 | 
read_295 status=OK qual=AA diff=<0, -1>  | 1275846 1276851 | pad: 11, 10 | 
read_296 status=OK qual=AB diff=<0, -11>  | 3554904 3555919 | pad: 11, None | 
read_297 status=OK qual=AA diff=<0, -1>  | 19900293 19901295 | pad: 11, 10 | 
read_298 status=OK qual=AA diff=<0, -1>  | 14582126 14583126 | pad: 11, 10 | 
read_299 status=OK qual=AA diff=<0, -3>  | 3634183 3635183 | pad: 11, 8 | 
read_300 status=OK qual=AA diff=<0, 1>  | 7766648 7767647 | pad: 11, 12 | 
read_301 status=OK qual=AB diff=<11, -1>  | 8034679 8035688 | pad: None, 10 | 
read_302 status=OK qual=AA diff=<0, -1>  | 13847839 13848835 | pad: 11, 10 | 
read_303 status=OK qual=AA diff=<0, -1>  | 10728068 10729067 | pad: 10, 10 | 
read_304 status=OK qual=AB diff=<11, -1>  | 8313514 8314522 | pad: None, 10 | 
read_305 status=OK qual=AB diff=<11, -1>  | 14989591 14990603 | pad: None, 10 | 
read_306 status=OK qual=AB diff=<0, -11>  | 6062712 6063725 | pad: 11, None | 
read_307 status=OK qual=AB diff=<11, -2>  | 13617245 13618252 | pad: None, 9 | 
read_308 status=OK qual=AA diff=<7, 0>  | 7457274 7458286 | pad: None, 11 | 
read_309 status=OK qual=AA diff=<0, 0>  | 5452286 5453286 | pad: 11, 10 | 
