read_232 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_233 | status=OK | qual=AA | max_diff=4 sum_diff=6 | diff=<2, 4>
read_234 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<2, -2>
read_235 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_236 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_237 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<1, 2>
read_238 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<-2, -2>
read_239 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<1, -1>
read_240 | status=OK | qual=AB | max_diff=8 sum_diff=10 | diff=<-8, -2>
read_241 | status=OK | qual=AA | max_diff=5 sum_diff=8 | diff=<-5, 3>
read_242 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_243 | status=OK | qual=AA | max_diff=4 sum_diff=5 | diff=<1, 4>
read_244 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_245 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_246 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_247 | status=OK | qual=AB | max_diff=11 sum_diff=13 | diff=<-11, -2>
read_248 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_249 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<1, -1>
read_250 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<3, 0>
read_251 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, 2>
read_252 | status=OK | qual=AA | max_diff=4 sum_diff=4 | diff=<0, -4>
read_253 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_254 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_255 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_256 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_257 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_258 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<0, 3>
read_259 | status=OK | qual=AA | max_diff=8 sum_diff=8 | diff=<0, -8>
read_260 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<0, 3>
read_261 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<-2, -2>
read_262 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_263 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<-2, 1>
read_264 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_265 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_266 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<-2, 0>
read_267 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<0, 3>
read_268 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_269 | status=OK | qual=AA | max_diff=4 sum_diff=4 | diff=<0, -4>
read_270 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<-2, -1>
read_271 | status=OK | qual=AA | max_diff=5 sum_diff=5 | diff=<-5, 0>
read_272 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_273 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, 2>
read_274 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<2, 0>
read_275 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_276 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<-3, 0>
read_277 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<-3, 0>
read_278 | status=OK | qual=AA | max_diff=5 sum_diff=7 | diff=<2, -5>
read_279 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_280 | status=OK | qual=AA | max_diff=3 sum_diff=5 | diff=<-2, 3>
read_281 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_282 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_283 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_284 | status=OK | qual=AA | max_diff=5 sum_diff=5 | diff=<5, 0>
read_285 | status=OK | qual=AB | max_diff=11 sum_diff=13 | diff=<-11, -2>
read_286 | status=OK | qual=AB | max_diff=10 sum_diff=12 | diff=<10, -2>
read_287 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_288 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, 2>
read_289 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<-2, -1>
read_290 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<0, -3>
read_291 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_292 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<-3, 0>
read_293 | status=OK | qual=AA | max_diff=5 sum_diff=7 | diff=<5, -2>
read_294 | status=OK | qual=AA | max_diff=3 sum_diff=6 | diff=<-3, 3>
read_295 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_296 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, 2>
read_297 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_298 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_299 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_300 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_301 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_302 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_303 | status=OK | qual=AA | max_diff=4 sum_diff=6 | diff=<-2, -4>
read_304 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_305 | status=OK | qual=AA | max_diff=5 sum_diff=7 | diff=<2, -5>
read_306 | status=OK | qual=AA | max_diff=3 sum_diff=5 | diff=<2, 3>
read_307 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
